"main_category","sub_category","average_ratings"
accessories,Bags & Luggage,4.00
accessories,Sunglasses,3.98
accessories,Gold & Diamond Jewellery,3.92
accessories,Fashion & Silver Jewellery,3.90
accessories,Handbags & Clutches,3.90
men's clothing,T-shirts & Polos,3.85
accessories,Watches,3.84
accessories,Jewellery,3.81
women's clothing,Clothing,3.80
men's clothing,Innerwear,3.78
women's shoes,Shoes,3.77
women's clothing,Western Wear,3.77
men's clothing,Shirts,3.76
women's clothing,Lingerie & Nightwear,3.76
women's clothing,Ethnic Wear,3.73
men's shoes,Sports Shoes,3.72
women's shoes,Fashion Sandals,3.61
men's shoes,Casual Shoes,3.60
men's shoes,Formal Shoes,3.57
men's clothing,Jeans,3.56
women's shoes,Ballerinas,3.54
